Longitude,Latitude,CNTY_NM,
-95.43631,32.05495,Anderson,"(-95.4363099979999, 32.054949998)"
-95.43628,32.05483,Anderson,"(-95.4362799999999, 32.054829999)"
-95.43612999,32.05465,Anderson,"(-95.4361299949999, 32.054650004)"
-95.43615,32.05447,Anderson,"(-95.4361500009999, 32.054469996)"
-95.43611,32.05415,Anderson,"(-95.4361099979999, 32.054149997)"
-95.43598,32.05382,Anderson,"(-95.4359799999999, 32.053819998)"
-95.43569,32.05338,Anderson,"(-95.4356899999999, 32.05338)"
-95.43551,32.05302,Anderson,"(-95.4355099979999, 32.053020002)"
-95.43525,32.05282,Anderson,"(-95.4352499999999, 32.052820002)"
-95.43454,32.05239,Anderson,"(-95.4345400039999, 32.052390003)"
-95.43398,32.05205,Anderson,"(-95.4339800019999, 32.052050001)"
-95.43361,32.05176,Anderson,"(-95.4336100039999, 32.051760002)"
-95.43341,32.05166,Anderson,"(-95.4334099969999, 32.051659997)"
-95.43331,32.05161,Anderson,"(-95.4333099969999, 32.05161)"
-95.43299,32.05134,Anderson,"(-95.4329900039999, 32.051339998)"
-95.43291,32.05128,Anderson,"(-95.4329099969999, 32.05128)"
-95.43262,32.05107,Anderson,"(-95.4326199969999, 32.051070003)"
-95.43248,32.05098,Anderson,"(-95.4324799979999, 32.050979996)"
-95.43227,32.05084,Anderson,"(-95.4322700009999, 32.050840001)"
-95.43202,32.0507,Anderson,"(-95.4320199989999, 32.050699998)"
-95.43161,32.05053,Anderson,"(-95.4316099979999, 32.050529999)"
-95.43144,32.05047,Anderson,"(-95.4314399999999, 32.050469997)"
-95.43113,32.05035,Anderson,"(-95.4311300039999, 32.050349997)"
-95.43062,32.0502,Anderson,"(-95.4306199989999, 32.050199997)"
-95.43034,32.05013,Anderson,"(-95.4303399969999, 32.05013)"
-95.43021,32.05012,Anderson,"(-95.4302099989999, 32.050120001)"
-95.42993,32.0501,Anderson,"(-95.4299299989999, 32.050099998)"
-95.42972,32.05016,Anderson,"(-95.4297199979999, 32.050159999)"
-95.42954,32.05021,Anderson,"(-95.4295400019999, 32.050210001)"
-95.42936,32.05031,Anderson,"(-95.4293599989999, 32.050310001)"
-95.42929,32.05034,Anderson,"(-95.4292900039999, 32.050339999)"
-95.42919999,32.05041,Anderson,"(-95.4291999949999, 32.050410001)"
-95.4291,32.05053,Anderson,"(-95.4290999969999, 32.05053)"
-95.42907,32.05075,Anderson,"(-95.4290699959999, 32.050749999)"
-95.42896,32.05085,Anderson,"(-95.4289600019999, 32.050849997)"
-95.42881,32.05085,Anderson,"(-95.4288100049999, 32.050849998)"
-95.42861,32.05078,Anderson,"(-95.4286099969999, 32.050779998)"
-95.42845,32.05073,Anderson,"(-95.4284499999999, 32.050729998)"
-95.42826,32.05075,Anderson,"(-95.4282599989999, 32.05075)"
-95.42817,32.05076,Anderson,"(-95.4281700019999, 32.050760004)"
-95.42803,32.05081,Anderson,"(-95.4280299969999, 32.050810002)"
-95.42787,32.05092,Anderson,"(-95.4278699969999, 32.050920002)"
-95.42778,32.05102,Anderson,"(-95.4277799969999, 32.051019998)"
-95.42776,32.05118,Anderson,"(-95.4277599979999, 32.051180004)"
-95.42778,32.0513,Anderson,"(-95.4277799959999, 32.051299999)"
-95.42787,32.05149,Anderson,"(-95.4278699999999, 32.051489995)"
-95.42798,32.05174,Anderson,"(-95.4279799979999, 32.051739996)"
-95.42802,32.05182,Anderson,"(-95.4280199979999, 32.051820002)"
-95.42796,32.05186,Anderson,"(-95.4279599959999, 32.05186)"
-95.42791,32.0519,Anderson,"(-95.4279099999999, 32.051900003)"
-95.42771,32.05189,Anderson,"(-95.4277100009999, 32.051890003)"
-95.42762,32.05186,Anderson,"(-95.4276199989999, 32.051859998)"
-95.42742,32.05166,Anderson,"(-95.4274200009999, 32.051659997)"
-95.42707,32.05119,Anderson,"(-95.4270700019999, 32.051189998)"
-95.42677,32.05097,Anderson,"(-95.4267700009999, 32.050970001)"
-95.42662,32.05067,Anderson,"(-95.4266199979999, 32.050670001)"
-95.42643,32.05026,Anderson,"(-95.4264299959999, 32.050259998)"
-95.42633,32.05005,Anderson,"(-95.4263300009999, 32.050049998)"
-95.42626,32.04997,Anderson,"(-95.4262599959999, 32.049970001)"
-95.42615,32.04999,Anderson,"(-95.4261500009999, 32.049989997)"
-95.4261,32.05003,Anderson,"(-95.4261000049999, 32.050030001)"
-95.42600999,32.05003,Anderson,"(-95.4260099949999, 32.050029997)"
-95.42589,32.05005,Anderson,"(-95.4258900039999, 32.050050003)"
-95.42578,32.05002,Anderson,"(-95.4257799999999, 32.05002)"
-95.42570999,32.05001,Anderson,"(-95.4257099949999, 32.050009998)"
-95.42557,32.04979,Anderson,"(-95.4255699979999, 32.049790003)"
-95.42546,32.0497,Anderson,"(-95.4254599999999, 32.049700001)"
-95.42523,32.04965,Anderson,"(-95.4252299969999, 32.049649999)"
-95.4248,32.04952,Anderson,"(-95.4247999959999, 32.049519996)"
-95.42442,32.0493,Anderson,"(-95.4244200019999, 32.049299997)"
-95.42435,32.04927,Anderson,"(-95.4243500019999, 32.049270001)"
-95.42407,32.04914,Anderson,"(-95.4240699989999, 32.04914)"
-95.42384,32.04895,Anderson,"(-95.4238400029999, 32.048950002)"
-95.42359,32.04869,Anderson,"(-95.4235900009999, 32.048689995)"
-95.42322,32.04835,Anderson,"(-95.4232200009999, 32.048350002)"
-95.42304,32.04827,Anderson,"(-95.4230399989999, 32.048269995)"
-95.42297,32.04832,Anderson,"(-95.4229700039999, 32.048319996)"
-95.42286,32.0484,Anderson,"(-95.4228599989999, 32.0484)"
-95.42265001,32.04834,Anderson,"(-95.4226500059999, 32.048340001)"
-95.42237999,32.04824,Anderson,"(-95.4223799949999, 32.048240001)"
-95.42231,32.04822,Anderson,"(-95.4223100039999, 32.048220001)"
-95.42208,32.04816,Anderson,"(-95.4220799999999, 32.048160004)"
-95.42186,32.0481,Anderson,"(-95.4218600019999, 32.048100002)"
-95.42176,32.04806,Anderson,"(-95.4217599989999, 32.048060001)"
-95.42167,32.04799,Anderson,"(-95.4216700009999, 32.04799)"
-95.42168,32.04785,Anderson,"(-95.4216799989999, 32.04785)"
-95.42176,32.04779,Anderson,"(-95.4217599979999, 32.04779)"
-95.42181,32.04774,Anderson,"(-95.4218099999999, 32.047740003)"
-95.42185,32.04761,Anderson,"(-95.4218500009999, 32.047609997)"
-95.42186001,32.04736,Anderson,"(-95.4218600059999, 32.047359998)"
-95.42188,32.04723,Anderson,"(-95.4218800019999, 32.047229996)"
-95.42186,32.0471,Anderson,"(-95.4218600029999, 32.047100004)"
-95.42191,32.04706,Anderson,"(-95.4219100009999, 32.047060002)"
-95.42206,32.04699,Anderson,"(-95.4220599969999, 32.046990003)"
-95.42209,32.04691,Anderson,"(-95.4220899989999, 32.046910002)"
-95.42207,32.04682,Anderson,"(-95.4220699979999, 32.046819997)"
-95.42199,32.0467,Anderson,"(-95.4219899979999, 32.046700002)"
-95.42193,32.04653,Anderson,"(-95.4219300029999, 32.046530003)"
-95.42191,32.04634,Anderson,"(-95.4219099989999, 32.046339999)"
-95.42192,32.04623,Anderson,"(-95.4219200019999, 32.046229998)"
-95.42197,32.04619,Anderson,"(-95.4219700039999, 32.046190001)"
-95.42203,32.04614,Anderson,"(-95.4220299979999, 32.046139998)"
-95.42212,32.04597,Anderson,"(-95.4221199989999, 32.045970002)"
-95.42221,32.04583,Anderson,"(-95.4222100019999, 32.045829997)"
-95.42229,32.04573,Anderson,"(-95.4222900049999, 32.045729999)"
-95.42234,32.04568,Anderson,"(-95.4223399999999, 32.045679996)"
-95.42241,32.04568,Anderson,"(-95.4224100009999, 32.045679999)"
-95.4225,32.04564,Anderson,"(-95.4224999999999, 32.045639997)"
-95.42263,32.04559,Anderson,"(-95.4226300009999, 32.045589998)"
-95.42272,32.04555,Anderson,"(-95.4227200049999, 32.045550001)"
-95.42278,32.04556,Anderson,"(-95.4227800009999, 32.045559999)"
-95.42284,32.04555,Anderson,"(-95.4228400029999, 32.04555)"
-95.42289,32.04552,Anderson,"(-95.4228899979999, 32.045519998)"
-95.42294,32.04549,Anderson,"(-95.4229399989999, 32.045490002)"
-95.42299,32.04543,Anderson,"(-95.4229899989999, 32.045430003)"
-95.42301,32.04534,Anderson,"(-95.4230100009999, 32.045339998)"
-95.42301,32.04524,Anderson,"(-95.4230100029999, 32.045240001)"
-95.42289,32.04487,Anderson,"(-95.4228900039999, 32.044869997)"
-95.42287,32.04479,Anderson,"(-95.4228700019999, 32.044789999)"
-95.42281,32.04461,Anderson,"(-95.4228099999999, 32.044610002)"
-95.42267,32.04435,Anderson,"(-95.4226700019999, 32.04435)"
-95.42237,32.04408,Anderson,"(-95.4223699999999, 32.044079998)"
-95.42221,32.0439,Anderson,"(-95.4222099959999, 32.043899999)"
-95.42215,32.04371,Anderson,"(-95.4221499959999, 32.043709996)"
-95.42215,32.04319,Anderson,"(-95.4221500049999, 32.04319)"
-95.42221,32.04288,Anderson,"(-95.4222100009999, 32.042879998)"
-95.42238,32.04246,Anderson,"(-95.4223800009999, 32.04246)"
-95.42254,32.04207,Anderson,"(-95.4225399959999, 32.042069997)"
-95.42274,32.04181,Anderson,"(-95.4227400009999, 32.041810001)"
-95.42286,32.04167,Anderson,"(-95.4228600009999, 32.041670003)"
-95.42292,32.0416,Anderson,"(-95.4229200019999, 32.041599996)"
-95.42307,32.04151,Anderson,"(-95.4230700019999, 32.041509996)"
-95.42311999,32.04149,Anderson,"(-95.4231199949999, 32.04149)"
